maxIter,regParam,rank,rmse
2,0.01,10,2.5855422232114513
2,0.01,50,1.5829365512407716
2,0.01,100,1.3872975170000617
2,0.01,150,1.325613093149399
2,0.01,200,1.2976618242137719
2,0.1,10,1.6907327614574585
2,0.1,50,1.6185796251598323
2,0.1,100,1.5802934266328679
2,0.1,150,1.5639934479324267
2,0.1,200,1.5578719319099226
2,1.0,10,1.6431881955901797
2,1.0,50,1.6289741576897292
2,1.0,100,1.638772527162657
2,1.0,150,1.6389437340538653
2,1.0,200,1.637062494956496
2,10.0,10,3.543550512855466
2,10.0,50,3.5435506334639513
2,10.0,100,3.5435506994923296
2,10.0,150,3.5435507001370214
2,10.0,200,3.5435507025232145
2,100.0,10,3.5435521113474757
2,100.0,50,3.54355211134749
2,100.0,100,3.543552111347498
2,100.0,150,3.5435521113474984
2,100.0,200,3.543552111347499
4,0.01,10,2.2074108756582818
4,0.01,50,1.3287474147357794
4,0.01,100,1.181629806977952
4,0.01,150,1.1500902582753123
4,0.01,200,1.1420820549898438
4,0.1,10,1.4855952595732336
4,0.1,50,1.359004538012471
4,0.1,100,1.3217140898837845
4,0.1,150,1.3071371222297519
4,0.1,200,1.3037214027782742
4,1.0,10,1.396052267769512
4,1.0,50,1.3971549112812869
4,1.0,100,1.3976572556386306
4,1.0,150,1.3977722056466597
4,1.0,200,1.3977176190008516
4,10.0,10,3.543552110969652
4,10.0,50,3.543552110998319
4,10.0,100,3.5435521110139088
4,10.0,150,3.543552111013713
4,10.0,200,3.5435521110143666
4,100.0,10,3.543552111347638
4,100.0,50,3.543552111347638
4,100.0,100,3.543552111347638
4,100.0,150,3.543552111347638
4,100.0,200,3.543552111347638
6,0.01,10,2.0144623606764998
6,0.01,50,1.248631224368655
6,0.01,100,1.1532843183467716
6,0.01,150,1.1414302984952525
6,0.01,200,1.1417695101202514
6,0.1,10,1.400772889478453
6,0.1,50,1.2704728415606616
6,0.1,100,1.2429345203724886
6,0.1,150,1.2320924476113928
6,0.1,200,1.2295910094232985
6,1.0,10,1.3863032922553435
6,1.0,50,1.3864494320701914
6,1.0,100,1.386481461394808
6,1.0,150,1.3865015693135938
6,1.0,200,1.3864954423039662
6,10.0,10,3.5435521113475645
6,10.0,50,3.5435521113475734
6,10.0,100,3.543552111347578
6,10.0,150,3.5435521113475774
6,10.0,200,3.543552111347578
6,100.0,10,3.543552111347638
6,100.0,50,3.543552111347638
6,100.0,100,3.543552111347638
6,100.0,150,3.543552111347638
6,100.0,200,3.543552111347638
8,0.01,10,1.8934939738319412
8,0.01,50,1.2152813984155528
8,0.01,100,1.1512312145621932
8,0.01,150,1.1495073296448002
8,0.01,200,1.154351502167001
8,0.1,10,1.352759556336932
8,0.1,50,1.2351456193040617
8,0.1,100,1.2143754882941964
8,0.1,150,1.205817308340588
8,0.1,200,1.2034812905066536
8,1.0,10,1.3855628008665282
8,1.0,50,1.3855816040544808
8,1.0,100,1.3855836772016183
8,1.0,150,1.3855870977140026
8,1.0,200,1.3855863610246426
8,10.0,10,3.543552111347638
8,10.0,50,3.543552111347638
8,10.0,100,3.543552111347638
8,10.0,150,3.543552111347638
8,10.0,200,3.543552111347638
8,100.0,10,3.543552111347638
8,100.0,50,3.543552111347638
8,100.0,100,3.543552111347638
8,100.0,150,3.543552111347638
8,100.0,200,3.543552111347638
10,0.01,10,1.808019645702278
10,0.01,50,1.1982658632972214
10,0.01,100,1.1538108995368057
10,0.01,150,1.1575466441069042
10,0.01,200,1.1654594221123598
10,0.1,10,1.3226632141640553
10,0.1,50,1.2185658594131308
10,0.1,100,1.2022274701469797
10,0.1,150,1.1950920909019551
10,0.1,200,1.1929164208489083
10,1.0,10,1.385487686630416
10,1.0,50,1.3854901937260777
10,1.0,100,1.3854902769274586
10,1.0,150,1.385490855252442
10,1.0,200,1.3854907842174882
10,10.0,10,3.543552111347638
10,10.0,50,3.543552111347638
10,10.0,100,3.543552111347638
10,10.0,150,3.543552111347638
10,10.0,200,3.543552111347638
10,100.0,10,3.543552111347638
10,100.0,50,3.543552111347638
10,100.0,100,3.543552111347638
10,100.0,150,3.543552111347638
10,100.0,200,3.543552111347638
